date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2025-10-08,997699.8839238437,1093902.4903496176,917419.085584,1,['AXISBANK.NS'],0,124
2025-10-09,997362.9576879999,1100371.7814915995,997362.9576879999,0,[],0,123
2025-10-10,997362.9576879999,1106066.3702313777,997362.9576879999,0,[],0,124
2025-10-13,997362.9576879999,1102657.4668638278,997362.9576879999,0,[],0,122
2025-10-14,997362.9576879999,1098977.2462350149,997362.9576879999,0,[],0,124
2025-10-15,997362.9576879999,1108197.0678347535,997362.9576879999,0,[],0,125
2025-10-16,997362.9576879999,1118385.3561030189,997362.9576879999,0,[],0,121
2025-10-17,997362.9576879999,1124079.9448427968,997362.9576879999,0,[],0,124
2025-10-20,997362.9576879999,1130626.6707586905,997362.9576879999,0,[],0,124
2025-10-21,997362.9576879999,1130665.447256161,997362.9576879999,0,[],0,126
2025-10-23,997362.9576879999,1132679.9335881548,997362.9576879999,0,[],0,124
2025-10-24,997362.9576879999,,997362.9576879999,0,[],0,126
2025-10-27,997362.9576879999,1136398.8124934093,997362.9576879999,0,[],0,124
2025-10-28,997362.9576879999,1135430.3458248824,997362.9576879999,0,[],0,124
2025-10-29,997362.9576879999,1140853.7355244262,997362.9576879999,0,[],0,125
2025-10-30,997362.9576879999,1133415.8594928884,997362.9576879999,0,[],0,124
2025-10-31,997362.9576879999,1127605.0594817284,997362.9576879999,0,[],0,126
2025-11-03,997362.9576879999,1128651.079145196,997362.9576879999,0,[],0,124
2025-11-04,997362.9576879999,1121833.0359680387,997362.9576879999,0,[],0,124
2025-11-06,997362.9576879999,1116603.292313789,997362.9576879999,0,[],0,124
2025-11-07,997362.9576879999,1117378.1129370218,997362.9576879999,0,[],0,126
2025-11-10,997362.9576879999,1121445.6256564222,997362.9576879999,0,[],0,123
2025-11-11,997362.9576879999,1126597.9345367602,997362.9576879999,0,[],1,124
2025-11-12,995969.2916171405,1133958.2575733573,914006.4944979999,1,['BHARATFORG.NS'],0,126
2025-11-13,996217.6223986994,1132679.9335881548,996217.6223986994,0,[],0,126
2025-11-14,996217.6223986994,1134384.3261614153,996217.6223986994,0,[],0,125
2025-11-17,996217.6223986994,1138800.5909159905,996217.6223986994,0,[],0,125
2025-11-18,996217.6223986994,1134926.724241884,996217.6223986994,0,[],0,126
2025-11-19,996217.6223986994,1140350.1139414276,996217.6223986994,0,[],0,122
2025-11-20,996217.6223986994,1145270.0002790017,996217.6223986994,0,[],0,124
2025-11-21,996217.6223986994,1140156.467896134,996217.6223986994,0,[],0,125
2025-11-24,996217.6223986994,1136205.0482270864,996217.6223986994,0,[],0,125
2025-11-25,996217.6223986994,1133803.2698045052,996217.6223986994,0,[],0,126
2025-11-26,996217.6223986994,1146703.3120330565,996217.6223986994,0,[],0,126
2025-11-27,996217.6223986994,1148291.6115559635,996217.6223986994,0,[],0,125
2025-11-28,996217.6223986994,1148562.6923751694,996217.6223986994,0,[],0,125
2025-12-01,996217.6223986994,1147051.9458472026,996217.6223986994,0,[],0,126
2025-12-02,996217.6223986994,1141473.5683788066,996217.6223986994,0,[],0,126
2025-12-03,996217.6223986994,1138141.9815641397,996217.6223986994,0,[],0,126
2025-12-04,996217.6223986994,1140350.1139414276,996217.6223986994,0,[],0,126
2025-12-05,996217.6223986994,1146703.3120330565,996217.6223986994,0,[],0,126
2025-12-08,996217.6223986994,1136786.2228050255,996217.6223986994,0,[],0,126
2025-12-09,996217.6223986994,1132524.9458193025,996217.6223986994,0,[],0,126
2025-12-10,996217.6223986994,1129464.5580448702,996217.6223986994,0,[],0,126
2025-12-11,996217.6223986994,1134771.7364730316,996217.6223986994,0,[],0,126
2025-12-12,996217.6223986994,1141589.7796501885,996217.6223986994,0,[],0,126
2025-12-15,996217.6223986994,1141008.7232932784,996217.6223986994,0,[],0,126
2025-12-16,996217.6223986994,1133725.8350305932,996217.6223986994,0,[],0,126
2025-12-17,996217.6223986994,1130045.6144017803,996217.6223986994,0,[],0,126
2025-12-18,996217.6223986994,1130549.235984779,996217.6223986994,0,[],0,126
2025-12-19,996217.6223986994,1136784.2130475347,996217.6223986994,0,[],0,126
2025-12-22,996217.6223986994,1145463.6463242953,996217.6223986994,0,[],0,125
